app_key,routed_app_types,customisation_blacklist,customisation_whitelist,customisation_other_control
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,0,0,
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,0,0,
cws:aapcigpegmhncjofolnjdibbimmegdpo,dsct;habit_apps;planners,1,0,
cws:abdnkmgdhnphfalgmpjcfoagkbhaemho,dsct;planners,0,0,
cws:acjicnehenlkmfnfpbjbpfnjegbelbpj,dsct;habit_apps;planners,1,1,
cws:ahmapmilbkfamljbpgphfndeemhnajme,dsct,0,0,
cws:ajfnijfldjjdnahcfophikekeinkcjkh,planners,0,0,
cws:akkeocgaabiepmmmnjbjejefaigeabco,dsct,1,0,
cws:amjhcaicehjnnfjdpopgomhaeabjmkml,dsct;planners,1,0,
cws:andkpmfpmmfbnlbjjnkibmipcocccnpn,dsct,0,0,
cws:aoabjfoanlljmgnohepbkimcekolejjn,dsct;habit_apps;planners,1,1,Keyword-based blocking and redirect options
cws:baefifnjmlmfcdkmbkdbjiijlpggkoic,dsct;planners,0,0,
cws:bebhefcdgigdmaalghmfldlpnlihgagh,dsct,0,0,"User chooses which elements (comments, recommendations) to remove"
cws:beonelencefgcankelbahlicbelpimbj,habit_apps,0,0,
cws:bilbbamlcngpnbigcimcomgfdfjpgalb,dsct;habit_apps;planners,0,0,
cws:bmgapafjmieapnakkcjecbjjmhjjkjdh,dsct,1,0,
cws:bnhoohnpacahbpomggeekbiijpmphoan,dsct;planners,0,0,
cws:bnmlbplkbmonkmbgacnhpnagedpehhbh,habit_apps;planners,0,0,
cws:bojgfojkbefkdapljkgknamfhfkpjddf,dsct;habit_apps,0,0,
cws:cidlnonacebcdekahbbknnmkbclhodnc,dsct,0,0,
cws:ckfejoidaicoaiacpegjindigbllohie,dsct;habit_apps,0,0,
cws:cnnanfhnjndfhjofabppgccbnplioggm,dsct,1,0,
cws:dbhddnbkappldeffnjacgmgddeckkpbg,dsct;habit_apps,1,0,
cws:ddgpmapoeniaajondpdgpkoopodpecid,dsct;planners,0,0,
cws:dhooahmpdcmdnjbdedfhhopjdboeniih,dsct;habit_apps;planners,1,0,
cws:djlcaojjlpkmbibdmbineghpdfdfkdel,dsct;planners,0,0,
cws:dmbalohccebhfhnadejgcpikngacbfek,dsct;planners,0,0,
cws:dmhkalipldojecjggjindleobbfhbahj,dsct;planners,0,0,
cws:dpfofggmkhdbfcciajfdphofclabnogo,dsct;planners,1,0,
cws:dplfndmflhcoiobjccmdoclbcahfeoij,dsct,0,0,Focus Profiles allow custom control over allowed apps and websites
cws:efkdgnehbfibggfibkcihjkdajdnjmng,planners,0,0,
cws:ehjjfofjnfhalaleelhbjjellbfhbfgm,dsct,0,0,
cws:eihjgbfgjkbgdhaldhppomcodpefgecd,dsct;planners,0,0,
cws:ejgemnelnfkihiadpbfneghconekmcbd,dsct;habit_apps;planners,0,0,
cws:eoaadhjniegbmpgooeflmdfonmaajpcp,dsct;planners,0,0,
cws:eopnbfdedknpnlgcbeafohkkkgahpcgo,dsct;habit_apps;planners,1,0,
cws:famfkafckbmdnbnhjomagngmncfjjlee,dsct;habit_apps;planners,1,0,
cws:femnahohginddofgekknfmaklcbpinkn,dsct;habit_apps,0,0,
cws:fgaaffhjdmhlhdmmigjpjepflplblgam,dsct;planners,0,0,
cws:fgdbgpogmjcfhbifhhongdeidnnmnadb,dsct,1,0,
cws:fgkkmokgpilcfageadkabpfcolkddefk,dsct;planners,0,0,
cws:fhibnoojcpppgnhmflbejbdenpllndai,dsct;habit_apps;planners,0,0,custom task lists and recurring task intervals
cws:fifbgboiihlbnmgcjpdbeeaaemnlgnoh,dsct,0,0,
cws:fmlkbhlcpkkgndjjmlbgdhkojokiechg,dsct;habit_apps,0,0,
cws:gefaddaengbodpiobpbgblajdboalmgc,dsct,1,0,
cws:gigiekecpijokpijbabheahcnpfchhga,dsct,0,0,
cws:gmdaagomicigmgadngfallebccknddhd,dsct;planners,0,0,
cws:gmmcoggmjnbbklphjcbnpfepmagelgkk,dsct,0,0,
cws:gnjnoncblhhofbhekoogfohpppkbiclo,dsct;habit_apps;planners,0,1,Scheduling blocking times
cws:gpiakngfngdkcbgggpahcpokomckjnka,habit_apps;planners,0,0,
cws:hcelgfllhjoilpbohioepjnbmgkefaen,dsct,1,0,
cws:hchpbgikdjjaecnpjigpbemfpklenjbk,dsct,0,0,
cws:hddclpebfglijbmapdjminkkcafchkmb,dsct,0,0,
cws:hdndbhnidlhphocggjbhdpeeaiehmadh,dsct,0,0,
cws:heiociebkegcmkeagfhjegdklidfdidd,dsct,0,0,
cws:hgbhmfckkljdpebjaafmhaidboijiflp,dsct;planners,0,0,
cws:hljpnbabhaomedbbpmknmhjmbbhbgnod,dsct;planners,1,0,
cws:hllblboekpocmhbkkhdekeldnphdpmlk,dsct,0,0,
cws:hlnfaecadmhdahdicpegeahkjchclojl,dsct;habit_apps,1,0,
cws:ifdepgnnjpnbkcgempionjablajancjc,dsct;planners,1,1,
cws:iijpilnaolaphiljcinklmdlgdhdokia,dsct;habit_apps,1,0,
cws:ipdhikeonhhnphaffliobbkdepniggil,dsct;planners,1,0,
cws:ipggcbohndbcegepmgmkdapggbilhmee,habit_apps;planners,0,0,
cws:jdbliieklfhihjpmhhekcoldpcemlafj,dsct,1,0,
cws:jdgkhgoanhhnileehaipfpffmnfiiibh,dsct;planners,0,0,
cws:jemdldabgmbndebknjpdoeamckbliobm,dsct;habit_apps,1,1,
cws:jfgclifcjffpgeeonldlmfkipgjnbcai,dsct;planners,0,0,
cws:jmdmoiflcdfmpemlhjdlfomobdcdmfai,dsct;planners,1,0,
