app_key,app_type,app_type_label,feature,feature_label,source,routed_app_types,flag,confidence,evidence,llm_sub_code,llm_cognitive_primary,llm_cognitive_secondary,llm_cognitive_tertiary,uncertain,llm_uncertainty_note,core_cluster,customisation_blacklist,customisation_whitelist,customisation_other_control,llm_notes
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,dsct;habit_apps;planners,0,0.95,"No evidence that the tool blocks or restricts access to apps, websites, or device functions; it only provides a timer and notifications.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,dsct;habit_apps;planners,0,0.9,"No evidence of user customization of block lists, allowed apps/sites, or distraction categories.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,dsct;habit_apps;planners,0,0.9,"No evidence of emergency bypass, pause, or temporary unlock features.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,dsct;habit_apps;planners,0,0.9,"No explicit reminders of tasks/goals, no goal setting or comparison against goals described; only a timer and cycle settings.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,dsct;habit_apps;planners,0,0.9,"No mention of effortful tasks, passwords, delays, or restrictions to override or disable the timer or settings.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,dsct;habit_apps;planners,0,0.95,"No points, badges, streaks, penalties, or other reward/punishment mechanisms described.",,,,,0,,0,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,dsct;habit_apps;planners,1,0.95,"Users can customize durations of work sessions, short breaks, long breaks, and number of cycles before a long break, effectively scheduling recurring focus sessions.",Recurring focus session,Conscious goals and self-monitoring,,,0,,1,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,dsct;habit_apps;planners,1,0.95,"The app visualizes completed Pomodoros for today, this week, and this month with charts tracking consistency over 7 days.",Visualise captured usage data,Conscious goals and self-monitoring,,,0,,1,0,0,,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,accountability,Accountability,Project extension,dsct;habit_apps;planners,0,0.9,"No social accountability, sharing, groups, or community features mentioned",,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,dsct;habit_apps;planners,1,0.9,Stats tab visualizes completed Pomodoros with charts tracking consistency and progress,Habit analytics,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,dsct;habit_apps;planners,1,0.9,Desktop notifications alert when to switch between work and break sessions,Habit reminders,,,,0,,0,0,0,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
