app_key,routed_app_types,app_type,app_type_label,feature,feature_label,source,flag,confidence,core_cluster,uncertain,llm_sub_code,llm_cognitive_primary,llm_cognitive_secondary,llm_cognitive_tertiary,evidence,llm_uncertainty_note,llm_notes
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,0,0.95,0,0,,,,,"No evidence that the tool blocks or restricts access to apps, websites, or device functions; it only provides a timer and notifications.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,0,0.9,0,0,,,,,"No evidence of user customization of block lists, allowed apps/sites, or distraction categories.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,0,0.9,0,0,,,,,"No evidence of emergency bypass, pause, or temporary unlock features.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,goal_advancement,Goal-Advancement,Lyngs et al.,0,0.9,0,0,,,,,"No explicit reminders of tasks/goals, no goal setting or comparison against goals described; only a timer and cycle settings.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,override_friction,Override Friction,Project extension,0,0.9,0,0,,,,,"No mention of effortful tasks, passwords, delays, or restrictions to override or disable the timer or settings.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,reward_punishment,Reward/Punishment,Lyngs et al.,0,0.95,0,0,,,,,"No points, badges, streaks, penalties, or other reward/punishment mechanisms described.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,scheduling,Scheduling,Project extension,1,0.95,1,0,Recurring focus session,Conscious goals and self-monitoring,,,"Users can customize durations of work sessions, short breaks, long breaks, and number of cycles before a long break, effectively scheduling recurring focus sessions.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,dsct,Digital Self-Control Tools,self_tracking,Self-Tracking,Lyngs et al.,1,0.95,1,0,Visualise captured usage data,Conscious goals and self-monitoring,,,"The app visualizes completed Pomodoros for today, this week, and this month with charts tracking consistency over 7 days.",,"The app is a Pomodoro timer with customizable cycles and visual progress tracking. It does not block or restrict access to apps or websites, nor does it provide rewards or explicit goal reminders. Scheduling is present as customizable recurring focus/break cycles."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,accountability,Accountability,Project extension,0,0.9,0,0,,,,,"No social accountability, sharing, groups, or community features mentioned",,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_analytics,Habit Analytics,Project extension,1,0.9,0,0,Habit analytics,,,,Stats tab visualizes completed Pomodoros with charts tracking consistency and progress,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_reminders,Habit Reminders,Project extension,1,0.9,0,0,Habit reminders,,,,Desktop notifications alert when to switch between work and break sessions,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,habit_tracking,Habit Tracking,Project extension,1,0.9,0,0,Daily habit tracking,,,,"Tracks completed Pomodoros daily, weekly, monthly with stats tab and progress charts",,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,routine_builder,Routine Builder,Project extension,0,0.9,0,0,,,,,"No support for routines, habit stacks, or structured daily workflows described",,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,habit_apps,Habit Apps,streaks,Streaks,Project extension,1,0.85,0,0,Consistency chain,,,,Chart tracks consistency over last 7 days to keep users inspired,,App focuses on Pomodoro time tracking with progress stats and reminders but lacks routine building and social accountability features.
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,calendar_scheduling,Calendar/Scheduling,Project extension,0,0.95,0,0,,,,,"No calendar views, scheduling, due dates, or events described",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,goal_planning,Goal Planning,Project extension,0,0.95,0,0,,,,,"No goal setting, milestones, or progress toward goals described",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,notes_knowledge,Notes/Knowledge Management,Project extension,0,0.95,0,0,,,,,"No notes, documents, or knowledge management features described",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,prioritisation,Prioritisation,Project extension,0,0.95,0,0,,,,,No mention of ranking or prioritising tasks,,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,project_planning,Project Planning,Project extension,0,0.95,0,0,,,,,"No project boards, workflows, subtasks, or deadlines described",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,task_management,Task Management,Project extension,0,0.95,0,0,,,,,"No mention of creating, organizing, or tracking tasks or to-do lists",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aacicogfahcdijddomfbninhjjbainjb,dsct;habit_apps;planners,planners,Planners,time_blocking,Time Blocking,Project extension,1,0.95,0,0,Pomodoro timer allocates blocks of focused work and breaks,,,,"Pomodoro timer breaks work into intervals (25 min work, breaks), allocates focus sessions",,"App is a Pomodoro timer focused on time blocking for focus sessions; no evidence of task, calendar, goal, prioritisation, project, or notes features."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,block_removal,Block/Removal,Lyngs et al.,1,0.9,1,0,Block access entirely,Prevent non-conscious habits,,,Qustodio manages daily screen time allowance and protects devices by blocking access on linked devices.,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,custom_rules,Custom Rules,Project extension,0,0.5,0,0,,,,,"No explicit mention of user customization of block lists, schedules, or rules.",,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
cws:aagckeangbhdegepjkmihamjggeflipg,dsct,dsct,Digital Self-Control Tools,emergency_access,Emergency Access,Project extension,0,0.5,0,0,,,,,No mention of emergency bypass or temporary unlock features.,,"The app clearly blocks access to digital content by managing daily screen time allowance, so block_removal is true. There is no clear evidence of self-tracking, goal advancement, reward/punishment, or customization features in the provided description. Scheduling and override friction are not explicitly described. No emergency access is mentioned."
