app_key,store,id,app_id,title,developer,category,installs_or_users,rating_avg,rating_count,iap_min,iap_max,pricing_raw,description,website_url,store_url,icon_url,version,release_date,last_update,relevance_score,scraped_at,drop_reason
ios:id6760403444,AppStore,id6760403444,avusd-focus-app_appstore,AVUSD Focus App,Focus School Software LLC,Education,,0.0,0.0,,,Free,"Stay connected to your child’s education with the AVUSD Focus app. Receive real-time notifications of grades, attendance, upcoming assignments, and test scores. Communicate with your student’s teacher and receive information from their school and the district. Get easy access to important links to help manage lunch payments, extracurricular activities, bus routes, and more.",https://focusschoolsoftware.com,https://apps.apple.com/us/app/avusd-focus-app/id6760403444?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/18/f1/97/18f197c1-c225-3401-0646-3dea061eafbf/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg,3.8.10,2026-03-18,2026-03-18,0.763,2026-06-01,below_popularity_thresholds
cws:jmiaipkifkemllkhhoofjnikkckoofea,ChromeWS,jmiaipkifkemllkhhoofjnikkckoofea,healthyapp-daily-healthy-reminders_chromews,Healthyapp: daily healthy reminders,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,3.0,1.0,,,Free,"OverviewStay healthy with AI-guided exercises, posture and hydration reminders. Get the gentle nudge you need with Healthyapp!Healthyapp is here to help you to prioritize your health and well-being! In the modern age of technology, it's easy to get caught up in the digital world, but at what cost to our health? Are you tired of feeling sluggish and out of shape after long hours at your desk? Don't let a sedentary lifestyle hold you back from feeling your best! ✅ Stay refreshed with gentle pop-up reminders for posture, hydration, and activity breaks. 🏆 Access an AI personal trainer offering diverse exercise sets. 🛠️ Customize settings to align with your schedule, including working hours and days. 🚨 Enjoy subtle alerts for uninterrupted workflow efficiency. This easy-to-use Chrome extension seamlessly integrates into your daily routine, providing gentle reminders to maintain good posture, stay hydrated, and take regular activity breaks. With customizable settings and a sleek design, you can personalize the app to your specific needs, including your working hours and days, and enjoy the convenience of an AI personal trainer with various sets of exercises. Take the first step towards a healthier, happier you today! Install Healthyapp and experience the transformative power of wellness with healthy reminders!See less",,https://chromewebstore.google.com/detail/jmiaipkifkemllkhhoofjnikkckoofea?hl=en,https://lh3.googleusercontent.com/5PDX2kpfm6tpesCvq0SvNhmhgH1xzz77HjrWcKdP-uVrfDnp1JKeVoe2tJ3fntPuwiQzModbMCyEgQkJeE5a7WoyJXs=s128-rj-sc0x00ffffff,"UpdatedMarch 12, 2024",,,0.171,2026-06-01,below_popularity_thresholds
ios:id1566825092,AppStore,id1566825092,concentric-app_appstore,Concentric App,Bhawan Baweja,Productivity,,5.0,1.0,,,Free,"Concentric's Home Visit and Student Engagement application is a platform made for educators who conduct home visits and re-engage students. These Educators or PSAs (Professional Student Advocates) are assigned to students for getting student's report like 'why student is not coming'. PSA accomplishes that by either visiting student's home or making a phone call. This platform enables PSA to view and complete details of the home-visit or phone-call assigned to them. PSA can view details from different academic years of Home Visit and Phone Call. To keep track, visits and calls are divided into Assigned, Completed, Completed & Closed and Pending & Closed. Different filters will help user to browse and search data easily. PSA can create routes and add home-visit which will help them to navigate and re-plan their route with map and distance features. Large home-visit data can be added to routes using import. After arriving to location they can mark visit as done and complete the route.",https://app.concentriced.org/public/,https://apps.apple.com/us/app/concentric-app/id1566825092?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/71/dd/1b/71dd1b58-5823-dacc-3cde-ee70d3458ef9/AppIcon-1x_U007emarketing-0-10-0-0-85-220-0.png/512x512bb.jpg,1.1.9,2021-10-06,2024-06-27,0.349,2026-06-01,below_popularity_thresholds
cws:nboimjlpccmgehkfenfhaifdpjppeoll,ChromeWS,nboimjlpccmgehkfenfhaifdpjppeoll,minimalist-task-manager_chromews,Minimalist Task Manager,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,5.0,2.0,,,Free,"OverviewA minimalist task manager with Pomodoro, a local Year Calendar, and a Meditation Zone to enhance focus and productivity.# Minimalist Task Manager: The Start Page for Focus & Calm **Control your day, visualize your year, and find your flow.** The Minimalist Task Manager turns your new tab into a distraction-free command center. It combines powerful daily planning with a revolutionary ""Bird's Eye"" year view, designed to cure time blindness and help you load-balance your life against reality—all while keeping your data 100% private. --- ### 🚀 New in v1.8.2 * **🔗 Floating Quick Links Grid**: A stunning, full-screen overlay for your most-used tools. Manage up to 50 sites with auto-resolving high-res logos and a sleek Chrome-inspired aesthetic. * **🛡️",,https://chromewebstore.google.com/detail/nboimjlpccmgehkfenfhaifdpjppeoll?hl=en,https://lh3.googleusercontent.com/9OEgKNdeAp8HxqZCQ0ErCL0_7GUTQJs5a0Uq5mrTd1-EYXpW138kFu8qppJUCixmllo7xHhHQImM7bHAKM4QxmP9cw=s128-rj-sc0x00ffffff,"UpdatedMay 2, 2026",,,0.608,2026-06-01,below_popularity_thresholds
cws:ljigippjjlenfiofmbipieclkfcjfcop,ChromeWS,ljigippjjlenfiofmbipieclkfcjfcop,uw-shuffle-making-quest-easier-to-use_chromews,UW Shuffle — making Quest easier to use,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,5.0,3.0,,,Free,"OverviewPreview your schedule, plan with friends, and dodge bad professors on Quest.Stop struggling with Quest. Planning schedules with friends, checking professor reviews, and swapping classes should be simple. UWShuffle is the Chrome extension that takes the pain out of Quest. ➤ Here’s what UWShuffle can do for you: • Visual schedule preview: Instantly see a clean weekly calendar when testing swaps • Professor insights: View UW Flow ratings and reviews directly in the sidebar. • Quick schedule sharing: Generate shareable links friends can import with one click. • Export to calendar: Download as ICS for Google, Apple, or any calendar app. ➤ About UWShuffle: Built by UW students, for UW students. Our goal is simple: make university life easier, not harder.See less",,https://chromewebstore.google.com/detail/ljigippjjlenfiofmbipieclkfcjfcop?hl=en,https://lh3.googleusercontent.com/Xsq1tUTSUokPtZNl1jZOZBSP7DhIPKZ43P98ybnHFFKfMsPnCCCgh6ikAtYUSomes-Wd7u2zM0ave9tvOoVAryC0=s128-rj-sc0x00ffffff,"UpdatedAugust 18, 2025",,,0.098,2026-06-01,"below_popularity_thresholds,low_relevance,weak_scope_without_required_strong_signal"
cws:nbocoaebfdcibmmjjbkmedpmdaekcmla,ChromeWS,nbocoaebfdcibmmjjbkmedpmdaekcmla,activify-student-planner_chromews,Activify - Student Planner,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,5.0,3.0,,,Free,"OverviewScan school platforms on demand, organize assignments, and build a daily study plan with AI.Transform your chaotic school portals into a streamlined, AI-driven daily plan with Activify, the ultimate side panel assistant for the modern student. By instantly scanning assignments from Canvas, Google Classroom, and Schoology, Activify uses the high-speed Llama 3.3 AI to generate realistic, time-blocked study schedules that account for your extracurriculars and needed breaks. Experience the most satisfying way to crush your to-do list with our unique ""Drag-to-Strike"" gesture, featuring a glowing, canvas-animated strike-through, while building a ""Study Streak"" that keeps you consistent and motivated. Whether you need to estimate homework time, find out what to work on ""right now,"" or sync your tasks across devices, Activify handles the heavy lifting of planning so you can focus on passing.",,https://chromewebstore.google.com/detail/nbocoaebfdcibmmjjbkmedpmdaekcmla?hl=en,https://lh3.googleusercontent.com/v99RTFj04Pe_hofI5NhC83D6R230HCJycoP5JNZ_feyAnEJhnpTgOKfMyAL7Mwm19BQiM8hSyz24xEnchzW-nFKo3eg=s128-rj-sc0x00ffffff,"UpdatedMay 26, 2026",,,0.355,2026-06-01,below_popularity_thresholds
cws:mkgehmmjddnfooiheplkcgbgonmeialc,ChromeWS,mkgehmmjddnfooiheplkcgbgonmeialc,foci-planner_chromews,Foci Planner,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Extension,,5.0,6.0,,,Free,"OverviewThe Best Planner for CreatorsReplace your new tab page with a personal dashboard to help you get focused, and stay organized with its minimalist view. • Minimalist • Daily | Weekly | Monthly Planner • Todo List • Beautiful Themes • Calm New Updates •",,https://chromewebstore.google.com/detail/mkgehmmjddnfooiheplkcgbgonmeialc?hl=en,https://lh3.googleusercontent.com/osEWOSeeM4-FwWZpo18aO9npaauzt6_4CBpi3kP6AkA1SSzLZA7G4VylBJSjDS1irwxiwbs4LKZ6ZSiDxuNfp-soCQ=s128-rj-sc0x00ffffff,"UpdatedNovember 3, 2024",,,0.106,2026-06-01,low_relevance
cws:ikcpbmlbgoknannnfcnfhmohpcnlphmn,ChromeWS,ikcpbmlbgoknannnfcnfhmohpcnlphmn,habit-tracker_chromews,Habit Tracker,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Follows recommended practices for Chrome extensions. Learn more.,1000.0,4.1,19.0,,,Free,OverviewAdd personal habits based on your goals and keep track of them.- Basic extension for keeping track of habits. - Upload a habit. - Check the completed days.,,https://chromewebstore.google.com/detail/ikcpbmlbgoknannnfcnfhmohpcnlphmn?hl=en,https://lh3.googleusercontent.com/BfiPrAzoprFV1qyr89ai3k55GxHyZtQuFg8VuB2DSi__IuUo9zz3IiGhAGZYHeG8pRtDJHvIas0isQWVyHXqIK8p6Og=s128-rj-sc0x00ffffff,"UpdatedFebruary 2, 2023",,,1.0,2026-06-01,weak_scope_without_required_strong_signal
play:co.bitbakery.BrainFit,PlayStore,co.bitbakery.BrainFit,brainfit-habit-tracker_playstore,BrainFit – Habit Tracker,WBHI,Kids,5000.0,4.1,42.0,,,,"Optimize your brain health with BrainFit, a free habit tracker to help guard against dementia by building habits in the Six Pillars of Brain Health. Private, individualized, and adaptable, BrainFit gives you up-to-date, fact-based information, encouragement, and support to help you start and keep healthy habits for your brain.Unique Features·	Guides users to healthy habits based on all Six Pillars of Brain Health: Exercise, Nutrition, Stress Management, Social Activity, Mental Stimulation, and Sleep·	Completely private and confidential and free to use·	Educates you on how to protect their brain health·	Content continually updated based on the latest research·	Tracks habits to help you monitor your progress·	Includes articles on the latest scientific evidence and hundreds of tips·	Provides Challenges and encouragement to keep you motivated",https://womensbrainhealth.org/brainfit,https://play.google.com/store/apps/details?id=co.bitbakery.BrainFit&hl=en&gl=US,https://play-lh.googleusercontent.com/6-gdu06jN3YJ7SJfhGzGR35MZ3qXQl2KFTSuJ4YUuqgIXT_3ngJYBpuhHnzz1Pr0vwc=w240-h480-rw,1.2.2,2022-11-11,2024-10-05,1.0,2026-06-01,weak_scope_without_required_strong_signal
cws:kbcdmkcnmpolhhhpeohepljeccihfngl,ChromeWS,kbcdmkcnmpolhhhpeohepljeccihfngl,youfocus-hide-youtube-distractions_chromews,YouFocus - Hide YouTube Distractions,Non-traderThis developer has not identified itself as a trader. For consumers in the European Union,Follows recommended practices for Chrome extensions. Learn more.,5000.0,4.9,45.0,,,Free,"OverviewHide YouTube suggested videos, comments, and more with a single clickYouFocus hides distracting content on YouTube with just one click. Whether you're watching YouTube for educational content or just for entertainment purposes, there is no reason to get sucked into videos that you did not originally intend to watch. 70% of all videos watched on YouTube are those recommended to the user, not searched. With YouFocus, you can beat the YouTube algorithm and watch what YOU want to watch, not what YouTube is recommending. YouFocus is a customizable experience. You can select which elements of YouTube you want to hide and which elements you want to see. The extension also has a schedule feature, allowing you block distractions during select hours. YouFocus has intuitive, easy to use controls. Additionally, the state of your extension is synced with your google account, allowing you to use the extension on multiple computers at once.",,https://chromewebstore.google.com/detail/kbcdmkcnmpolhhhpeohepljeccihfngl?hl=en,https://lh3.googleusercontent.com/PybFr-L_ApQToUU6q2SrCBha0h-8MIAjzKRayrGFT7f9mB38Lb2ZqBsovChXGpvxx2LqF3MqC_6zVdMcEw5h-mQ-=s128-rj-sc0x00ffffff,"UpdatedJanuary 30, 2026",,,0.309,2026-06-01,weak_scope_without_required_strong_signal
